"Participant","VersionNum","VersionHand","Age","Gender","NAART","EHI","EHI_LRA","mean_c","mu_c","sig_c","tau_c","mean_a","mu_a","sig_a","tau_a","zr","a","v_abs","v_con","t0","st0"
1,5,"R","NA","F",14,0.7,"R",0.79933552631579,0.604541929603936,0.0547874514788063,0.194804291105167,0.796797297297297,0.58681686521434,0.0455706487701157,0.209988249829588,0.4773,1.307,-1.5839,1.9188,0.5174,0.1268
2,2,"R","NA","F",15,1,"R",0.806877505567929,0.556151393545667,0.0370189230246028,0.250755728225122,0.937549773755656,0.695712505817072,0.0614519918503746,0.241829411077721,0.7142,1.6109,-2.3719,1.1396,0.518,0.1275
3,3,"R","NA","NA",19,0.4,"R",0.852133016627078,0.568256626051847,0.0422173039985589,0.283899988735035,0.974503740648379,0.656639144723861,0.0735485582124645,0.317894593216167,0.6399,1.4521,-1.4928,1.0052,0.5246,0.1601
4,4,"R","NA","F",16,0.4545,"R",0.896814988290398,0.615815665572296,0.0790388786277646,0.280991519075822,0.997596816976127,0.703048058832918,0.0999209196113552,0.294612613358063,0.5833,1.3762,-1.1038,1.0112,0.5685,0.238
5,1,"R","NA","F",17,0.7143,"R",0.850709459459459,0.607689691397333,0.0582909793111189,0.243010948993625,0.878599137931035,0.5876847324154,0.036987978953039,0.290857718153874,0.5576,1.5008,-1.8505,1.5426,0.5102,0.1276
6,6,"R","NA","F",7,1,"R",0.938116336633663,0.567910918476527,0.0607992493032716,0.370205208891905,1.02917085427136,0.652479266144238,0.0798411244663674,0.376765156350753,0.5999,1.4812,-1.1904,0.7171,0.537,0.2713
7,7,"R","NA","F",13,0.7333,"R",0.925578703703704,0.622917531660948,0.0715614729335008,0.302675644612495,1.04071860465116,0.752957687899754,0.118017975406957,0.287783177828546,0.6666,1.5633,-1.7966,0.9292,0.5844,0.26
8,8,"R","NA","F",12,0.7333,"R",0.911638443935927,0.612369200898798,0.0540451850757432,0.299234034096646,0.93502842377261,0.58889739724507,0.0652789264666593,0.346111326995744,0.4424,1.5028,-0.8471,1.5465,0.4995,0.2011
10,10,"R","NA","F",10,0.8462,"R",0.911858536585366,0.675188841635032,0.0843487186242155,0.236697452745396,0.876851744186047,0.613954354488253,0.0698532601855468,0.262889326197334,0.4048,1.217,-0.2962,1.5914,0.591,0.2249
11,1,"R","NA","F",20,0.4,"R",1.05075965665236,0.64617571608928,0.0599769103398808,0.404653595905853,1.13915217391304,0.739182052338053,0.116462103442576,0.399899463199526,0.5937,1.8695,-1.6925,1.3195,0.558,0.3542
12,2,"R","NA","F",16,1,"R",0.779552447552448,0.62086125872639,0.0621438172356154,0.158687696319854,0.777614699331849,0.630306487864273,0.0592741160219292,0.147293814897536,0.5499,1.1591,-2.3745,1.6321,0.5551,0.1764
13,3,"R","NA","M",18,0.8261,"R",0.80965376344086,0.600360984699597,0.0482715769769821,0.209320505971779,0.871315789473684,0.672629384077532,0.08677996465597,0.198669849032437,0.5652,1.3389,-1.4771,1.5251,0.5486,0.1373
14,4,"R","19","F",6,0.875,"R",0.93396511627907,0.630274889741333,0.0961445898210753,0.303665130293033,0.936484848484848,0.612295991630792,0.086475386421853,0.324183070933785,0.5,1.3443,-0.9335,0.5565,0.5459,0.2412
15,5,"R","NA","F",13,1,"R",0.789280487804878,0.565222640368894,0.0815338334357177,0.224042753702421,0.77491935483871,0.589964770531012,0.0685096084298663,0.184942466167614,0.5476,1.233,-1.797,1.0413,0.5008,0.14
16,6,"R","NA","F",12,0.2381,"R",0.769269230769231,0.556234157842756,0.0497667877157643,0.213030327149352,0.809806451612903,0.587943962545088,0.0366448594940079,0.221883131324143,0.5749,1.2005,-1.5836,1.1702,0.5104,0.0859
17,7,"R","18","F",5,1,"R",1.10262114537445,0.739613282564247,0.0853133979230189,0.362983630176756,1.2271222826087,0.941555457924862,0.176550410601746,0.285537760107843,0.5961,1.5382,-0.8751,1.1576,0.7055,0.3563
18,8,"R","NA","F",18,0.8462,"R",0.907415865384615,0.625435559886452,0.0549292636052516,0.281973756953848,0.920345882352941,0.650761007893298,0.0652291926466881,0.269533148922129,0.5416,1.4111,-1.3574,1.1161,0.5476,0.1609
20,10,"R","19","F",13,0.4118,"R",0.914626865671642,0.607952632844207,0.0762475676496324,0.306650664242947,0.966890736342043,0.632670409400545,0.0762733544078499,0.334237049128602,0.5961,1.5175,-1.4931,0.8784,0.5157,0.2159
21,1,"R","22","F",7,1,"R",1.46851879699248,0.975614883560268,0.185237410607466,0.492965050985099,1.56556581986143,1.08560475904046,0.238446932188225,0.480096006919168,0.6874,1.4348,-2.5603,1.1018,1.0503,0.8613
22,3,"R","20","F",13,1,"R",1.22930940594059,0.75757261856203,0.17089228387605,0.471778953388969,1.4341277173913,1.02267456608985,0.244863850917987,0.411460895590696,0.6923,1.4935,-1.3311,0.4608,0.8495,0.7647
23,2,"R","21","F",7,1,"R",0.907586419753086,0.644566492685731,0.0941217149086746,0.263022864074147,0.836032183908046,0.582247956010201,0.055617280716824,0.253821222931814,0.4783,1.3207,-1.3363,0.6701,0.514,0.1208
24,4,"R","20","M",9,0.3636,"R",1.06851442307692,0.638215331919711,0.0603282015851853,0.430295077180382,1.07139651416122,0.717458871646406,0.0959157829326362,0.353882911709438,0.5862,1.7154,-1.5832,0.9596,0.5608,0.2765
25,5,"R","20","F",14,0.7333,"R",1.05892183908046,0.740418157742221,0.10178910199648,0.318423768189391,1.08569574944072,0.802301240552186,0.142879583793571,0.283415411854049,0.5714,1.6105,-1.6385,1.1925,0.6428,0.3627
26,6,"R","21","F",21,0.9231,"R",0.791873873873874,0.559463335080236,0.0395060988523076,0.232426634936055,0.784292576419214,0.569584778047323,0.0317682620990786,0.21472326989922,0.5416,1.3763,-2.0136,1.4673,0.4779,0.0525
27,7,"R","18","F",2,0.8095,"R",0.79536511627907,0.533358341239951,0.0613851897964225,0.261989204876889,0.910698630136986,0.612201219665952,0.0559641130097774,0.298540778127123,0.5999,1.4381,-0.9116,1.1917,0.4714,0.1274
28,8,"R","21","F",10,1,"R",0.963938875305623,0.644022205543492,0.0695058239710849,0.320024571747328,1.03772389791183,0.670078198384207,0.0801297592751521,0.367657599110739,0.6153,1.5519,-1.4702,0.9088,0.5416,0.2418
30,10,"R","NA","M",9,0.2381,"R",1.26908616780045,0.77305243300839,0.10997872671456,0.496054029815738,1.49344376899696,1.20354976806554,0.283127742038527,0.289900902010393,0.6111,1.5977,-0.7578,1.0838,0.7952,0.7682
31,1,"R","21","F",16,0.8182,"R",0.838513888888889,0.610341333992351,0.0708452484224531,0.228165508072365,0.887438752783964,0.622475018553171,0.0678427316530984,0.26496256881243,0.5799,1.482,-1.8689,1.4615,0.5129,0.1801
32,2,"L","21","F",21,-0.7895,"L",0.839519187358917,0.586763495624509,0.0356805836715543,0.252775281020984,0.881151219512195,0.602603579734106,0.0436505660856906,0.278506267047164,0.5,1.4166,-1.2464,1.692,0.5027,0.0375
33,3,"R","18","F",11,1,"R",0.804149450549451,0.544141525093965,0.0597421753144103,0.259990609681064,1.03040419947507,0.640697108973964,0.0595441667074309,0.389550748802797,0.625,1.6267,-1.1519,1.4906,0.4651,0.1772
34,4,"L","20","F",20,-0.7273,"L",0.737755102040816,0.560055279392801,0.0620153962338174,0.177721325833608,0.776048498845266,0.591252131204311,0.0709168092052709,0.18478098270869,0.5714,1.2424,-1.889,1.6726,0.4979,0.1341
35,5,"R","19","F",11,0.8462,"R",1.08876483516484,0.749402251920532,0.068448575177006,0.33938175853136,1.19032867132867,0.90104071115487,0.128077427723451,0.28935465946635,0.6111,1.6105,-1.4576,1.2246,0.7057,0.3165
36,6,"R","19","F",4,1,"R",0.964634382566586,0.672618078696944,0.0984402730575434,0.291987546917657,1.02167865707434,0.703946384003724,0.0834591038628161,0.317649366866387,0.5833,1.4259,-1.3184,0.9322,0.6114,0.2604
37,7,"R","24","F",21,0.913,"R",1.03655504587156,0.594451602234085,0.0559887164304917,0.442199334315461,1.20918329466357,0.76069979988791,0.0800367792700542,0.448628934870341,0.6613,1.8205,-1.6531,0.9423,0.5563,0.2981
