Word,LgSUBTLWF,OLD,PLD,NSyll
abandon,2.617,2.9,2.45,3
ability,2.992,2.3,2.3,4
abnormal,2.173,3.1,3.35,3
above,3.397,1.95,1.95,2
abuse,2.719,1.8,1.85,2
accept,3.43,2.35,2.3,2
account,3.358,2.6,2.1,2
accuse,2.464,2.25,1.7,2
ache,2.107,1.65,1,1
achieve,2.574,2.65,2.3,2
act,3.745,1.5,1,1
action,3.494,1.85,1.8,2
active,2.767,2.1,2.1,2
actor,3.128,1.9,1.75,2
actress,2.913,2.35,2.2,2
add,3.227,1.6,1,1
addition,2.598,2.35,1.75,3
adjective,1.415,2.9,3.7,3
adolescent,1.978,3.55,4.05,4
adventure,2.836,2.85,3.15,3
advice,3.389,2.3,2.4,2
Africa,2.981,2.75,2.75,3
after,4.542,1.85,1.8,2
again,4.607,1.95,2,2
against,4.012,2.9,2.3,2
age,3.606,1.1,1.4,1
agreement,2.951,3.4,2.9,3
air,3.851,1.45,1,1
airplane,2.747,2.7,2.75,2
alcohol,2.927,3.35,3.7,3
alert,3.022,1.85,1.8,2
alive,3.897,1.8,1.85,2
all,5.42,1.2,1,1
alligator,2.253,3.55,2.9,4
allow,3.355,1.5,1.65,2
alone,4.197,1.75,1.6,2
alright,3.607,2.25,2.2,2
aluminum,2.064,3.6,3.55,4
always,4.524,2.25,2.55,2
am,4.752,1,1,1
ambulance,3.058,3.2,3.15,3
America,3.599,2.65,2.95,4
American,3.717,2.5,3.05,4
amount,3.101,2.15,2.25,2
amuse,2.127,1.85,1.8,2
angel,3.601,1.85,2.35,2
anger,2.997,1.65,1.8,2
angry,3.478,2,2.45,2
animal,3.366,2.45,2.45,3
ankle,2.613,1.85,1.85,2
annoy,2.111,1.95,1.85,2
annoying,2.754,2.95,2.55,3
annually,1.415,2.85,2.7,3
answer,3.954,2.6,1.75,2
ant,2.438,1.2,1.2,1
anxiety,2.539,3,4.25,3
apart,3.38,1.95,1.95,2
apartment,3.627,2.85,2.65,3
ape,2.694,1.15,1.05,1
apology,2.906,2.7,2.6,4
appear,3.077,2.3,1.75,2
apple,3.082,1.8,1.75,2
April,3.023,2.1,1.95,2
area,3.582,1.7,1.65,2
argue,3.003,1.9,2.7,2
argument,2.938,2.8,3.3,3
arm,3.523,1.45,1.55,1
armor,2.572,1.85,1.7,2
arms,3.484,1.55,1.7,1
army,3.641,1.8,1.75,2
around,4.575,1.8,2.15,2
arrogant,2.426,3.35,2.55,3
arrow,2.603,1.7,1.1,2
art,3.558,1.1,1.3,1
artist,3.165,2.1,1.9,2
ashtray,2.223,2.7,2.95,2
Asia,2.433,1.9,1.95,2
ask,4.392,1.5,1.55,1
asleep,3.405,2.45,2.05,2
ass,4.062,1.45,1,1
assistant,3.216,3.2,2.8,3
assume,3.232,2.4,1.9,2
atom,2.149,1.85,1.6,2
attack,3.586,2.3,1.75,2
attempt,2.989,2.8,2.2,2
Attic,2.603,2.05,1.8,2
aunt,3.45,1.45,1.2,1
Australia,2.635,3.65,3.75,3
auto,2.593,1.9,1.85,2
average,2.929,2.3,2.9,3
awake,3.135,1.8,1.7,2
award,2.818,1.85,1.6,2
aware,3.26,1.85,1.75,2
away,4.571,1.85,1.6,2
ax,2.346,1.25,1,1
baby,4.415,1.9,1.7,2
back,5.011,1,1,1
backpack,2.272,3,2.7,2
backward,2.204,2.55,2.55,2
bacon,2.783,1.85,1.7,2
bad,4.444,1,1,1
bag,3.681,1,1,1
bake,2.51,1,1,1
ball,3.729,1,1,1
ballet,2.719,1.65,1.85,2
balloon,2.646,2.4,1.75,2
band,3.435,1,1,1
bank,3.637,1.05,1.05,1
bar,3.642,1,1,1
bargain,2.788,2.6,1.95,2
base,3.256,1,1,1
baseball,3.11,3.05,3,2
basic,2.9,1.8,1.85,2
basket,2.828,1.75,1.7,2
basketball,3.038,4.35,4.5,3
bass,2.587,1.1,1,1
bat,3.022,1,1,1
bath,3.201,1.2,1,1
bathroom,3.498,3,2.7,2
beach,3.461,1.45,1.15,1
beam,2.649,1.5,1,1
bean,2.544,1.1,1,1
bear,3.467,1,1,1
beard,2.809,1.65,1,1
beast,3.098,1.4,1.1,1
beat,3.827,1,1,1
beautiful,4.154,3.55,3.1,3
bed,3.98,1,1,1
bedroom,3.272,2.65,2.6,2
bee,2.724,1.1,1,1
beef,3.003,1.6,1,1
beer,3.586,1.3,1,1
before,4.607,2.55,2.3,2
beg,3.415,1.2,1,1
begin,3.463,1.85,1.8,2
beginner,2,2.9,2.65,3
